CIAP_Plot,Status_Resolutividade,Destino_Plot,Quantidade_Atendimentos
P06-PERTURBAÇÃO DO SONO,Encaminhado,Infectologia,2
P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDAD...,Encaminhado,Outras Especialidades,2
R05-TOSSE,Encaminhado,Cirurgia Geral,2
R05-TOSSE,Encaminhado,Ortopedia,2
R05-TOSSE,Encaminhado,Otorrinolaringologia,2
R96-ASMA,Encaminhado,Dermatologia,2
R96-ASMA,Encaminhado,Outras Especialidades,2
S02-PRURIDO,Encaminhado,Infectologia,2
S02-PRURIDO,Encaminhado,Outras Especialidades,2
S02-PRURIDO,Encaminhado,Urologia,2
S10-FURÚNCULO/CARBÚNCULO,Encaminhado,Dermatologia,2
S10-FURÚNCULO/CARBÚNCULO,Encaminhado,Ortopedia,2
S10-FURÚNCULO/CARBÚNCULO,Encaminhado,Outras Especialidades,2
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Encaminhado,Infectologia,1
L03-SINAIS/SINTOMAS DA REGIÃO LOMBAR,Encaminhado,Cirurgia Geral,1
L03-SINAIS/SINTOMAS DA REGIÃO LOMBAR,Encaminhado,Infectologia,1
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TEN...,Encaminhado,Múltiplos Encaminhamentos,1
P06-PERTURBAÇÃO DO SONO,Encaminhado,Múltiplos Encaminhamentos,1
P06-PERTURBAÇÃO DO SONO,Encaminhado,Urologia,1
P19-ABUSO DE DROGAS,Encaminhado,Dermatologia,1
P19-ABUSO DE DROGAS,Encaminhado,Infectologia,1
P19-ABUSO DE DROGAS,Encaminhado,Outras Especialidades,1
P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDAD...,Encaminhado,Ortopedia,1
R05-TOSSE,Encaminhado,Dermatologia,1
R05-TOSSE,Encaminhado,Múltiplos Encaminhamentos,1
R05-TOSSE,Encaminhado,Outras Especialidades,1
R96-ASMA,Encaminhado,Infectologia,1
R96-ASMA,Encaminhado,Múltiplos Encaminhamentos,1
R96-ASMA,Encaminhado,Psiquiatria,1
S02-PRURIDO,Encaminhado,Ortopedia,1
S02-PRURIDO,Encaminhado,Otorrinolaringologia,1
S10-FURÚNCULO/CARBÚNCULO,Encaminhado,Oftalmologia,1
S10-FURÚNCULO/CARBÚNCULO,Encaminhado,Otorrinolaringologia,1
