Sexo,N (Pacientes),Idade Média,Idade Mediana,Desvio Padrão,Idade Mínima,Idade Máxima
Feminino,46,40.3,40.0,12.45,19.0,71.0
Masculino,493,42.1,41.0,12.22,18.0,80.0
