Sexo,N (Pacientes),Idade Média,Idade Mediana,Desvio Padrão,Idade Mínima,Idade Máxima
Feminino,3,42.0,44.0,3.46,38.0,44.0
Masculino,124,33.2,31.0,11.03,18.0,81.0
