Sexo,N (Pacientes),Idade Média,Idade Mediana,Desvio Padrão,Idade Mínima,Idade Máxima
Feminino,12,41.7,39.5,11.3,29.0,67.0
Masculino,297,36.4,36.0,10.6,18.0,73.0
