Motivo CIAP-2,Pacientes Únicos (N),Proporção (%)
K77-INSUFICIÊNCIA CARDÍACA,1,0.15
H71-OTITE MÉDIA AGUDA/MIRINGITE,1,0.15
A77-DENGUE E OUTRAS DOENÇAS VIRAIS NE,1,0.15
R07-ESPIRRO/CONGESTÃO NASAL,1,0.15
N91-PARALISIA FACIAL/PARALISIA DE BELL,1,0.15
K99-OUTRAS DOENÇAS DO APARELHO CIRCULATÓRIO,1,0.15
R74-INFECÇÃO AGUDA DO APARELHO RESPIRATÓRIO SUPERIOR (IVAS),1,0.15
K74-DOENÇA CARDÍACA ISQUÊMICA COM ANGINA,1,0.15
R21-SINAIS/SINTOMAS DA GARGANTA,1,0.15
K04-PALPITAÇÕES/PERCEPÇÃO DOS BATIMENTOS CARDÍACOS,1,0.15
H81-CERÚMEN NO OUVIDO EM EXCESSO,1,0.15
S04-TUMOR/INCHAÇO LOCALIZADO,1,0.15
D12-OBSTIPAÇÃO,1,0.15
S93-CISTO SEBÁCEO,1,0.15
H29-OUTROS SINAIS/SINTOMAS OUVIDO,1,0.15
 -63-CONSULTA DE SEGUIMENTO NÃO ESPECICADA,1,0.15
F76-CORPO ESTRANHO OCULAR,1,0.15
H86-SURDEZ,1,0.15
S88-DERMATITE DE CONTATO/ALÉRGICA,1,0.15
A01-DOR GENERALIZADA /MÚLTIPLA,1,0.15
S08-ALTERAÇÕES DA COR DA PELE,1,0.15
Y16-SINAIS/SINTOMAS DA MAMA MASCULINA,1,0.15
L73-FRATURA: TÍBIA/PERÔNIO/ FÍBULA,1,0.15
A85-EFEITO ADVERSO DE FÁRMACO DOSE CORRETA,1,0.15
Y06-SINAIS/SINTOMAS DA PRÓSTATA,1,0.15
A91-INVESTIGAÇÃO COM RESULTADO ANORMAL NE,1,0.15
"D91-HÉRNIA ABDOMINAL, OUTRAS",1,0.15
K29-OUTROS SINAIS/SINTOMAS CARDIOVASCULARES,1,0.15
