Perfil Clínico,Taxa de Encaminhamento Psiquiatria (%),Desvio Padrão,N (Pacientes)
Poliusuário (Lícitas/Leves),93.98267505414046,23.781367839988835,19394
Usuário de Drogas Pesadas,100.0,0.0,2892
